OBJECTID,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,AREA,CHANGECODE,ESRI_OID,Shape__Area,Shape__Length
8837,4c07d11e-15ce-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE041,Border,LM,Leitrim,28006,117039,Garadice,117039003,117039003,A117039003,0,0,8837,590404.052764893,3356.12481002512
8838,4c07d11e-15f7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13091,237080,Mullingar South Urban,237080018,237080018,A237080018,0,0,8838,275874.359283447,2460.70444191551
8839,4c07d11e-15f8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13091,237080,Mullingar South Urban,237080008,237080008,A237080008,0,0,8839,164099.04598999,1693.22170502775
8840,4c07d11e-15ed-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,MH,Meath,11026,167039,Ceannanus Mór (Kells) Rural,167039005,167039005,A167039005,0,0,8840,319217.197998047,3152.06441420155
8841,4c07d11e-15ee-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,MH,Meath,11001,167040,Ceannanus Mór (Kells) Urban,167040004,167040004,A167040004,0,0,8841,242070.632629395,2130.64603892288
8842,4c07d11e-2379-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE041,Border,CN,Cavan,32034,027092,Virginia,027092013,027092013,A027092013,0,0,8842,388386.15145874,3154.15353740814
8843,4c07d11e-233b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE041,Border,CN,Cavan,32002,027004,Bailieborough,027004017,027004017,A027004017,0,0,8843,150837.452331543,1819.51849104592
8844,4c07d11e-169f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05024,267044,Churchtown-Nutgrove,267044004,267044004,A267044004,0,0,8844,261159.248779297,1991.54985819612
8845,4c07d11e-167f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05020,267038,Cabinteely-Loughlinstown,267038011,267038011,A267038011,0,0,8845,194795.606414795,2502.43129856332
8846,4c07d11e-1680-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05007,267015,Ballybrack,267015001,267015001,A267015001,0,0,8846,56876.1470947266,1317.79708038778
8847,4c07d11e-1681-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05019,267037,Cabinteely-Kilbogget,267037003,267037003,A267037003,0,0,8847,252124.108032227,2346.20772749291
8848,4c07d11e-16c2-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05025,267045,Churchtown-Orwell,267045006,267045006,A267045006,0,0,8848,318159.439086914,3333.68822784671
8849,4c07d11e-1644-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02150,268146,Terenure C,268146003,268146003,A268146003,0,0,8849,64438.0281066895,1531.70771740345
8850,4c07d11e-160e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13089,237079,Mullingar Rural,237079024,237079024,A237079024,0,0,8850,298615.577423096,2607.5845318377
8851,4c07d11e-15cf-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,MH,Meath,11092,167090,Trim Rural,167090011,167090011,A167090011,0,0,8851,159397.080780029,1722.84460103834
8852,4c07d11e-16af-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05038,267079,Dundrum-Kilmacud,267079009,267079009,A267079009,0,0,8852,238459.662353516,2387.7313859467
8853,4c07d11e-0a57-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,CW,Carlow,01019,017010,Carlow Rural,017010036,017010036,A017010036,0,0,8853,435935.056518555,2686.46144290434
8854,4c07d11e-0a58-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,KE,Kildare,06013,087022,Castledermot,087022001,087022001,A087022001,0,0,8854,144133.110198975,1910.25765052596
